nohup: ignoring input
Loading original VRP: data/instances/I/Lazio.vrp
Loading clusters CSV: sfc_clusters_output.csv
Setting up cluster dispatching jobs...
Created 670 sub-problems. Running HGS with parallel workers...
[1/670] Solved cluster_0 | Cost: 122215.0
[2/670] Solved cluster_1 | Cost: 159744.0
[3/670] Solved cluster_2 | Cost: 259675.0
[4/670] Solved cluster_3 | Cost: 245147.0
[5/670] Solved cluster_4 | Cost: 469032.0
[6/670] Solved cluster_5 | Cost: 630260.0
[7/670] Solved cluster_6 | Cost: 572257.0
[8/670] Solved cluster_7 | Cost: 437379.0
[9/670] Solved cluster_8 | Cost: 355173.0
[10/670] Solved cluster_9 | Cost: 514739.0
[11/670] Solved cluster_10 | Cost: 650342.0
[12/670] Solved cluster_11 | Cost: 677056.0
[13/670] Solved cluster_12 | Cost: 785570.0
[14/670] Solved cluster_13 | Cost: 748151.0
[15/670] Solved cluster_14 | Cost: 881045.0
[16/670] Solved cluster_15 | Cost: 1080400.0
[17/670] Solved cluster_16 | Cost: 974015.0
[18/670] Solved cluster_17 | Cost: 1042930.0
[19/670] Solved cluster_18 | Cost: 833395.0
[20/670] Solved cluster_19 | Cost: 838133.0
[21/670] Solved cluster_20 | Cost: 1071580.0
[22/670] Solved cluster_21 | Cost: 1170580.0
[23/670] Solved cluster_22 | Cost: 1214060.0
[24/670] Solved cluster_23 | Cost: 1684440.0
[25/670] Solved cluster_24 | Cost: 2318450.0
[26/670] Solved cluster_25 | Cost: 2013880.0
[27/670] Solved cluster_26 | Cost: 1716880.0
[28/670] Solved cluster_27 | Cost: 1425260.0
[29/670] Solved cluster_28 | Cost: 1663570.0
[30/670] Solved cluster_29 | Cost: 1527780.0
[31/670] Solved cluster_30 | Cost: 1315200.0
[32/670] Solved cluster_31 | Cost: 1372460.0
[33/670] Solved cluster_32 | Cost: 1545590.0
[34/670] Solved cluster_33 | Cost: 1573640.0
[35/670] Solved cluster_34 | Cost: 1536320.0
[36/670] Solved cluster_35 | Cost: 1552900.0
[37/670] Solved cluster_36 | Cost: 1524710.0
[38/670] Solved cluster_37 | Cost: 1551210.0
[39/670] Solved cluster_38 | Cost: 1559740.0
[40/670] Solved cluster_39 | Cost: 1703050.0
[41/670] Solved cluster_40 | Cost: 1934910.0
[42/670] Solved cluster_41 | Cost: 2133280.0
[43/670] Solved cluster_42 | Cost: 2035320.0
[44/670] Solved cluster_43 | Cost: 2260780.0
[45/670] Solved cluster_44 | Cost: 2506400.0
[46/670] Solved cluster_45 | Cost: 2475040.0
[47/670] Solved cluster_46 | Cost: 2739030.0
[48/670] Solved cluster_47 | Cost: 2950920.0
[49/670] Solved cluster_48 | Cost: 3102780.0
[50/670] Solved cluster_49 | Cost: 3301250.0
[51/670] Solved cluster_50 | Cost: 3286220.0
[52/670] Solved cluster_51 | Cost: 4026160.0
[53/670] Solved cluster_52 | Cost: 4015300.0
[54/670] Solved cluster_53 | Cost: 4275490.0
[55/670] Solved cluster_54 | Cost: 3619580.0
[56/670] Solved cluster_55 | Cost: 3176920.0
[57/670] Solved cluster_56 | Cost: 2819930.0
[58/670] Solved cluster_57 | Cost: 2796050.0
[59/670] Solved cluster_58 | Cost: 3178860.0
[60/670] Solved cluster_59 | Cost: 3546100.0
[61/670] Solved cluster_60 | Cost: 3743710.0
[62/670] Solved cluster_61 | Cost: 4332770.0
[63/670] Solved cluster_62 | Cost: 5902880.0
[64/670] Solved cluster_63 | Cost: 5788550.0
[65/670] Solved cluster_64 | Cost: 5784880.0
[66/670] Solved cluster_65 | Cost: 5135800.0
[67/670] Solved cluster_66 | Cost: 5104620.0
[68/670] Solved cluster_67 | Cost: 5365670.0
[69/670] Solved cluster_68 | Cost: 6307390.0
[70/670] Solved cluster_69 | Cost: 6272370.0
