instance,seed,cost,wall_ms,solver_ms,num_routes,feasible,ref_cost,gap_pct,retried
X-n101-k25,1,27591,2092.2,2014.97,26,True,27591,0.0,False
X-n115-k10,1,12938,2036.5,2018.93,10,True,12747,1.4984,False
X-n129-k18,1,29039,2033.6,2017.28,18,True,28940,0.3421,False
X-n143-k7,1,15893,2038.7,2020.98,7,True,15700,1.2293,False
X-n157-k13,1,16910,2043.8,2026.0,13,True,16876,0.2015,False
X-n172-k51,1,45878,2043.0,2021.09,54,True,45607,0.5942,False
X-n186-k15,1,24322,2054.2,2036.48,15,True,24145,0.7331,False
X-n200-k36,1,59838,2043.4,2024.97,37,True,58578,2.151,False
X-n214-k11,1,11102,2048.6,2030.24,12,True,10856,2.266,False
X-n228-k23,1,26760,2043.3,2025.07,24,True,25742,3.9546,False
X-n242-k48,1,83268,2040.2,2023.34,48,True,82751,0.6248,False
X-n256-k16,1,18978,2043.4,2026.63,17,True,18839,0.7378,False
X-n270-k35,1,35488,2048.5,2030.16,36,True,35291,0.5582,False
X-n284-k15,1,20681,2051.7,2029.95,15,True,20226,2.2496,False
X-n298-k31,1,34516,2046.5,2027.44,31,True,34231,0.8326,False
X-n313-k71,1,95706,2049.4,2025.83,74,True,94043,1.7683,False
X-n327-k20,1,28160,2054.7,2037.79,20,True,27532,2.281,False
X-n344-k43,1,42813,2060.0,2038.01,44,True,42050,1.8145,False
X-n367-k17,1,23532,2047.5,2030.47,17,True,22814,3.1472,False
X-n393-k38,1,38799,2057.2,2036.49,38,True,38260,1.4088,False
X-n420-k130,1,108728,2052.3,2033.03,131,True,107798,0.8627,False
X-n449-k29,1,56934,2059.6,2043.85,30,True,55233,3.0797,False
X-n480-k70,1,90116,2063.4,2042.74,71,True,89449,0.7457,False
X-n513-k21,1,25041,2069.6,2046.83,21,True,24201,3.4709,False
X-n548-k50,1,87179,2077.6,2051.98,50,True,86700,0.5525,False
X-n586-k159,1,193098,2066.4,2040.24,163,True,190316,1.4618,False
X-n627-k43,1,63324,2096.9,2079.81,44,True,62164,1.866,False
X-n670-k130,1,152764,2063.9,2040.1,142,True,146332,4.3955,False
X-n716-k35,1,44792,2072.1,2052.58,35,True,43373,3.2716,False
X-n766-k71,1,117777,2077.4,2059.78,73,True,114417,2.9366,False
X-n819-k171,1,161007,2082.4,2063.11,176,True,158121,1.8252,False
X-n876-k59,1,100940,2075.2,2058.11,59,True,99299,1.6526,False
X-n936-k151,1,139938,2074.8,2053.49,172,True,132715,5.4425,False
X-n1001-k43,1,74294,2102.2,2080.25,43,True,72355,2.6798,False
