instance,seed,cost,wall_ms,solver_ms,num_routes,feasible,ref_cost,gap_pct,retried
X-n101-k25,1,27841,2058.6,2013.03,26,True,27591,0.9061,False
X-n115-k10,1,12938,2030.1,2017.3,10,True,12747,1.4984,False
X-n129-k18,1,29068,2032.8,2017.92,18,True,28940,0.4423,False
X-n143-k7,1,15802,2039.6,2022.86,7,True,15700,0.6497,False
X-n157-k13,1,16944,2043.0,2027.84,13,True,16876,0.4029,False
X-n172-k51,1,45890,2029.1,2017.01,53,True,45607,0.6205,False
X-n186-k15,1,24563,2039.0,2027.28,15,True,24145,1.7312,False
X-n200-k36,1,59835,2035.8,2020.85,37,True,58578,2.1459,False
X-n214-k11,1,11031,2039.4,2027.17,12,True,10856,1.612,False
X-n228-k23,1,26703,2032.6,2022.28,24,True,25742,3.7332,False
X-n242-k48,1,83062,2035.7,2020.04,48,True,82751,0.3758,False
X-n256-k16,1,18979,2039.3,2027.53,17,True,18839,0.7431,False
X-n270-k35,1,35649,2050.5,2033.87,36,True,35291,1.0144,False
X-n284-k15,1,20793,2051.7,2036.97,15,True,20226,2.8033,False
X-n298-k31,1,34695,2049.6,2024.49,31,True,34231,1.3555,False
X-n313-k71,1,95618,2037.8,2024.99,74,True,94043,1.6748,False
X-n327-k20,1,28155,2064.2,2045.84,20,True,27532,2.2628,False
X-n344-k43,1,42861,2055.9,2038.68,44,True,42050,1.9287,False
X-n367-k17,1,24105,2057.0,2039.64,18,True,22814,5.6588,False
X-n393-k38,1,38869,2055.0,2036.4,38,True,38260,1.5917,False
X-n420-k130,1,108875,2057.7,2039.3,132,True,107798,0.9991,False
X-n449-k29,1,56488,2080.9,2061.39,30,True,55233,2.2722,False
X-n480-k70,1,90636,2060.7,2045.58,71,True,89449,1.327,False
X-n513-k21,1,25235,2132.6,2114.04,22,True,24201,4.2726,False
X-n548-k50,1,87413,2094.7,2076.85,50,True,86700,0.8224,False
X-n586-k159,1,193228,2064.7,2046.92,163,True,190316,1.5301,False
X-n627-k43,1,63307,2105.7,2087.17,44,True,62164,1.8387,False
X-n670-k130,1,152006,2069.8,2050.78,141,True,146332,3.8775,False
X-n716-k35,1,44272,2100.6,2068.62,35,True,43373,2.0727,False
X-n766-k71,1,119571,2079.0,2060.75,74,True,114417,4.5046,False
X-n819-k171,1,161600,2076.0,2056.61,177,True,158121,2.2002,False
X-n876-k59,1,100638,2121.4,2102.48,59,True,99299,1.3485,False
X-n936-k151,1,142218,2079.7,2059.68,176,True,132715,7.1605,False
X-n1001-k43,1,74337,2119.0,2099.46,43,True,72355,2.7393,False
