instance,seed,cost,wall_ms,solver_ms,num_routes,feasible,ref_cost,gap_pct,retried
X-n101-k25,1,27833,2075.6,2015.26,26,True,27591,0.8771,False
X-n115-k10,1,12941,2033.6,2019.13,10,True,12747,1.5219,False
X-n129-k18,1,28996,2031.2,2016.5,18,True,28940,0.1935,False
X-n143-k7,1,15802,2038.4,2022.84,7,True,15700,0.6497,False
X-n157-k13,1,16923,2044.1,2028.55,13,True,16876,0.2785,False
X-n172-k51,1,46090,2037.3,2021.93,54,True,45607,1.059,False
X-n186-k15,1,24567,2041.0,2026.85,15,True,24145,1.7478,False
X-n200-k36,1,59890,2037.7,2024.8,37,True,58578,2.2397,False
X-n214-k11,1,11039,2045.6,2032.57,12,True,10856,1.6857,False
X-n228-k23,1,26726,2041.9,2025.87,24,True,25742,3.8225,False
X-n242-k48,1,83190,2041.4,2025.34,48,True,82751,0.5305,False
X-n256-k16,1,18925,2038.5,2025.21,17,True,18839,0.4565,False
X-n270-k35,1,35525,2057.7,2029.57,36,True,35291,0.6631,False
X-n284-k15,1,20581,2048.1,2026.5,15,True,20226,1.7552,False
X-n298-k31,1,34609,2040.4,2023.41,31,True,34231,1.1043,False
X-n313-k71,1,95259,2028.9,2019.37,73,True,94043,1.293,False
X-n327-k20,1,28162,2037.7,2028.02,20,True,27532,2.2882,False
X-n344-k43,1,42595,2041.4,2028.29,44,True,42050,1.2961,False
X-n367-k17,1,23798,2044.3,2029.02,18,True,22814,4.3131,False
X-n393-k38,1,38896,2043.6,2025.79,38,True,38260,1.6623,False
X-n420-k130,1,108686,2030.9,2020.94,132,True,107798,0.8238,False
X-n449-k29,1,56280,2063.2,2052.15,30,True,55233,1.8956,False
X-n480-k70,1,90682,2051.8,2033.36,71,True,89449,1.3784,False
X-n513-k21,1,24721,2045.1,2032.0,21,True,24201,2.1487,False
X-n548-k50,1,87155,2045.7,2035.53,50,True,86700,0.5248,False
X-n586-k159,1,192780,2044.7,2035.18,162,True,190316,1.2947,False
X-n627-k43,1,63155,2061.9,2046.96,44,True,62164,1.5942,False
X-n670-k130,1,153332,2048.6,2034.73,142,True,146332,4.7836,False
X-n716-k35,1,44417,2054.5,2043.3,35,True,43373,2.407,False
X-n766-k71,1,117769,2047.6,2037.03,72,True,114417,2.9296,False
X-n819-k171,1,161380,2050.7,2038.45,177,True,158121,2.0611,False
X-n876-k59,1,100450,2072.3,2052.55,59,True,99299,1.1591,False
X-n936-k151,1,141240,2078.2,2060.39,175,True,132715,6.4235,False
X-n1001-k43,1,74412,2181.5,2163.56,43,True,72355,2.8429,False
