instance,seed,cost,wall_ms,solver_ms,num_routes,feasible,ref_cost,gap_pct,retried
X-n101-k25,1,27659,2110.8,2010.63,26,True,27591,0.2465,False
X-n115-k10,1,12909,2023.8,2014.1,10,True,12747,1.2709,False
X-n129-k18,1,28996,2022.0,2012.98,18,True,28940,0.1935,False
X-n143-k7,1,15743,2029.9,2017.3,7,True,15700,0.2739,False
X-n157-k13,1,16944,2040.4,2023.85,13,True,16876,0.4029,False
X-n172-k51,1,45916,2036.8,2016.82,54,True,45607,0.6775,False
X-n186-k15,1,24604,2037.0,2025.58,15,True,24145,1.901,False
X-n200-k36,1,59913,2034.6,2018.92,37,True,58578,2.279,False
X-n214-k11,1,11115,2036.0,2021.39,12,True,10856,2.3858,False
X-n228-k23,1,26672,2034.6,2020.12,24,True,25742,3.6128,False
X-n242-k48,1,83260,2032.2,2018.84,48,True,82751,0.6151,False
X-n256-k16,1,18931,2028.8,2019.82,17,True,18839,0.4883,False
X-n270-k35,1,35697,2034.6,2023.44,36,True,35291,1.1504,False
X-n284-k15,1,20902,2031.6,2021.78,15,True,20226,3.3422,False
X-n298-k31,1,34555,2031.2,2021.22,31,True,34231,0.9465,False
X-n313-k71,1,95607,2030.9,2020.67,74,True,94043,1.6631,False
X-n327-k20,1,27987,2039.1,2025.53,20,True,27532,1.6526,False
X-n344-k43,1,42665,2035.9,2024.71,44,True,42050,1.4625,False
X-n367-k17,1,23577,2042.0,2023.84,17,True,22814,3.3444,False
X-n393-k38,1,38898,2045.6,2029.35,38,True,38260,1.6675,False
X-n420-k130,1,108641,2032.4,2021.75,131,True,107798,0.782,False
X-n449-k29,1,56369,2060.0,2034.48,30,True,55233,2.0567,False
X-n480-k70,1,90517,2041.5,2030.33,71,True,89449,1.194,False
X-n513-k21,1,24804,2043.5,2032.11,21,True,24201,2.4916,False
X-n548-k50,1,87175,2048.5,2033.53,50,True,86700,0.5479,False
X-n586-k159,1,193347,2045.3,2030.13,163,True,190316,1.5926,False
X-n627-k43,1,63174,2057.8,2038.71,44,True,62164,1.6247,False
X-n670-k130,1,152430,2043.7,2033.58,141,True,146332,4.1672,False
X-n716-k35,1,44308,2054.0,2043.3,35,True,43373,2.1557,False
X-n766-k71,1,116863,2052.5,2036.91,72,True,114417,2.1378,False
X-n819-k171,1,161126,2046.7,2035.05,177,True,158121,1.9004,False
X-n876-k59,1,100633,2049.6,2037.22,59,True,99299,1.3434,False
X-n936-k151,1,141136,2050.4,2036.23,174,True,132715,6.3452,False
X-n1001-k43,1,74141,2070.1,2057.39,43,True,72355,2.4684,False
