instance,seed,cost,wall_ms,solver_ms,num_routes,feasible,ref_cost,gap_pct,retried
X-n101-k25,1,27624,2098.0,2014.31,26,True,27591,0.1196,False
X-n115-k10,1,12750,2028.7,2019.15,10,True,12747,0.0235,False
X-n129-k18,1,29044,2031.9,2019.47,18,True,28940,0.3594,False
X-n143-k7,1,16316,2035.3,2022.48,7,True,15700,3.9236,False
X-n157-k13,1,16916,2043.1,2032.45,13,True,16876,0.237,False
X-n172-k51,1,45848,2028.8,2018.38,53,True,45607,0.5284,False
X-n186-k15,1,24366,2040.2,2030.78,15,True,24145,0.9153,False
X-n200-k36,1,59858,2038.2,2026.74,37,True,58578,2.1851,False
X-n214-k11,1,11176,2043.6,2034.72,12,True,10856,2.9477,False
X-n228-k23,1,26719,2032.9,2023.81,24,True,25742,3.7954,False
X-n242-k48,1,83492,2033.1,2023.01,48,True,82751,0.8955,False
X-n256-k16,1,19151,2036.3,2026.82,17,True,18839,1.6561,False
X-n270-k35,1,35705,2036.9,2027.47,36,True,35291,1.1731,False
X-n284-k15,1,20556,2046.2,2035.99,15,True,20226,1.6316,False
X-n298-k31,1,34892,2037.9,2027.91,32,True,34231,1.931,False
X-n313-k71,1,95476,2038.2,2026.48,74,True,94043,1.5238,False
X-n327-k20,1,28023,2062.3,2045.0,20,True,27532,1.7834,False
X-n344-k43,1,42681,2053.5,2039.1,44,True,42050,1.5006,False
X-n367-k17,1,24275,2056.3,2039.71,18,True,22814,6.404,False
X-n393-k38,1,38723,2056.4,2039.1,38,True,38260,1.2101,False
X-n420-k130,1,108598,2049.4,2032.45,131,True,107798,0.7421,False
X-n449-k29,1,56369,2096.3,2081.53,30,True,55233,2.0567,False
X-n480-k70,1,90704,2087.5,2073.64,71,True,89449,1.403,False
X-n513-k21,1,24997,2067.9,2055.5,21,True,24201,3.2891,False
X-n548-k50,1,87244,2110.0,2089.38,50,True,86700,0.6275,False
X-n586-k159,1,192859,2349.8,2066.48,162,True,190316,1.3362,False
X-n627-k43,1,63442,2599.4,2068.03,44,True,62164,2.0559,False
X-n670-k130,1,153844,2070.1,2038.94,141,True,146332,5.1335,False
X-n716-k35,1,44673,2078.4,2060.11,35,True,43373,2.9973,False
X-n766-k71,1,119019,2061.6,2050.98,74,True,114417,4.0221,False
X-n819-k171,1,161701,2064.0,2047.15,177,True,158121,2.2641,False
X-n876-k59,1,101109,2071.7,2060.12,59,True,99299,1.8228,False
X-n936-k151,1,139127,2062.1,2051.13,171,True,132715,4.8314,False
X-n1001-k43,1,73969,2082.6,2071.2,43,True,72355,2.2307,False
