Instance Name,Size (N),BKS,HGS Cost,HGS Time (s),HGS Peak Memory (MB),HGS Status,FILO2 Cost,FILO2 Time (s),FILO2 Peak Memory (MB),FILO2 Status
Abruzzo.vrp,250000,,OOM,529.85,16439.02,OOM,313932667.0,170.58,1902.84,OK
Antwerp1.txt,6001,477277.0,490611.0,2700.72,472.65,OK,479705.0,59.78,55.14,OK
Antwerp2.txt,7001,291350.0,308078.0,2701.38,468.64,OK,294752.0,63.88,61.87,OK
Basilicata.vrp,150000,,OOM,530.18,16392.85,OOM,176946396.0,123.4,1144.07,OK
Brussels1.txt,15001,501719.0,532835.0,2704.13,2414.67,OK,506993.0,58.4,120.37,OK
Brussels2.txt,16001,345468.0,TLE,2710.2,2231.16,TLE,352197.0,57.81,127.82,OK
CMT1.vrp,51,524.611,521.0,2700.2,4.79,OK,,,,N/A
CMT10.vrp,200,1395.85,1367.0,2700.17,5.89,OK,,,,N/A
CMT11.vrp,121,1042.12,1034.0,2700.08,5.16,OK,,,,N/A
CMT12.vrp,101,819.558,820.0,2700.11,5.17,OK,,,,N/A
CMT13.vrp,121,1541.14,1524.0,2700.11,5.18,OK,,,,N/A
CMT14.vrp,101,866.365,865.0,2700.13,5.13,OK,,,,N/A
CMT2.vrp,76,835.262,830.0,2700.18,5.01,OK,,,,N/A
CMT3.vrp,101,826.137,815.0,2700.11,5.14,OK,,,,N/A
CMT4.vrp,151,1028.42,1015.0,2700.13,5.56,OK,,,,N/A
CMT5.vrp,200,1291.289144,1274.0,2700.14,5.81,OK,,,,N/A
CMT6.vrp,51,555.43,548.0,2700.21,4.81,OK,,,,N/A
CMT7.vrp,76,909.675,903.0,2700.18,5.0,OK,,,,N/A
CMT8.vrp,101,865.945,848.0,2700.13,5.07,OK,,,,N/A
CMT9.vrp,151,1162.55,1145.0,2700.13,5.42,OK,,,,N/A
Calabria.vrp,380000,,OOM,530.66,16388.11,OOM,1971849787.0,210.23,2888.94,OK
Campania.vrp,500000,,OOM,106.24,16426.41,OOM,395650676.0,275.04,3799.34,OK
Emilia-Romagna.vrp,900000,,OOM,12.96,16423.83,OOM,5417912535.0,372.3,6562.77,OK
Flanders1.txt,20001,7240118.0,7640330.0,2705.3,4340.98,OK,7293052.0,79.94,157.75,OK
Flanders2.txt,30001,4373244.0,TLE,2710.38,7592.28,TLE,4461607.0,86.72,233.97,OK
Friuli-Venezia-Giulia.vrp,300000,,OOM,529.97,16433.73,OOM,418732605.0,178.41,2287.43,OK
Ghent1.txt,10001,469531.0,489841.0,2701.71,1207.13,OK,472287.0,54.26,84.39,OK
Ghent2.txt,11001,257749.0,TLE,2710.07,1048.72,TLE,261271.0,62.48,90.21,OK
Golden_1.vrp,241,5623.47,5624.0,2700.16,6.02,OK,,,,N/A
Golden_10.vrp,324,735.427307,610.0,2700.12,6.84,OK,,,,N/A
Golden_11.vrp,400,911.980164,TLE,2710.01,7.59,TLE,,,,N/A
Golden_12.vrp,484,1100.665283,TLE,2710.01,8.63,TLE,,,,N/A
Golden_13.vrp,253,857.189,854.0,2700.17,6.49,OK,,,,N/A
Golden_14.vrp,321,1080.55,1074.0,2700.2,7.3,OK,,,,N/A
Golden_15.vrp,397,1337.2677,TLE,2710.01,8.13,TLE,,,,N/A
Golden_16.vrp,481,1611.2769688292835,TLE,2710.01,9.32,TLE,,,,N/A
Golden_17.vrp,241,707.756,686.0,2700.14,6.37,OK,,,,N/A
Golden_18.vrp,301,995.133,989.0,2700.15,7.0,OK,,,,N/A
Golden_19.vrp,361,1365.6,1336.0,2700.06,7.75,OK,,,,N/A
Golden_2.vrp,321,8404.61,8450.0,2700.13,6.69,OK,,,,N/A
Golden_20.vrp,421,1817.59,TLE,2710.01,8.68,TLE,,,,N/A
Golden_3.vrp,401,10997.8,TLE,2710.01,7.2,TLE,,,,N/A
Golden_4.vrp,481,13588.6,TLE,2710.01,7.96,TLE,,,,N/A
Golden_5.vrp,201,6460.98,6460.0,2700.17,5.6,OK,,,,N/A
Golden_6.vrp,281,8400.33,8398.0,2700.15,6.15,OK,,,,N/A
Golden_7.vrp,361,10102.7,TLE,2710.01,6.82,TLE,,,,N/A
Golden_8.vrp,441,11635.3,TLE,2710.01,7.77,TLE,,,,N/A
Golden_9.vrp,256,579.702026,479.0,2700.12,6.19,OK,,,,N/A
Lazio.vrp,1000000,,OOM,13.43,16449.55,OOM,3158419623.0,411.2,7413.82,OK
Leuven1.txt,3001,192848.0,196580.0,2700.26,134.93,OK,193529.0,43.59,32.98,OK
Leuven2.txt,4001,111395.0,115919.0,2701.1,153.05,OK,112367.0,59.65,41.58,OK
Liguria.vrp,320000,,OOM,530.56,16427.25,OOM,1429587116.0,175.1,2433.92,OK
Lombardia.vrp,950000,,OOM,13.5,16395.19,OOM,1350192241.0,428.48,6925.81,OK
Marche.vrp,420000,,OOM,529.93,16494.57,OOM,423645818.0,257.99,3192.23,OK
Molise.vrp,50000,,OOM,433.17,16420.84,OOM,111676523.0,92.35,385.9,OK
Piemonte.vrp,600000,,OOM,105.68,16400.34,OOM,2636209074.0,298.61,4556.37,OK
Puglia.vrp,750000,,OOM,13.42,16423.65,OOM,1486388753.0,325.69,5694.04,OK
Sardegna.vrp,470000,,OOM,530.36,16470.92,OOM,842653650.0,228.47,3571.54,OK
Sicilia.vrp,800000,,OOM,12.17,16455.4,OOM,1798419241.0,353.35,6074.46,OK
Toscana.vrp,700000,,OOM,13.19,16384.52,OOM,1093232973.0,342.63,5316.07,OK
Trentino-Alto-Adige.vrp,100000,,ERROR,432.63,16014.97,ERROR,102909983.0,130.25,766.68,OK
Umbria.vrp,200000,,ERROR,528.46,15956.43,ERROR,547117087.0,168.05,1523.45,OK
