Instance Name,Size (N),Seed,Peak Memory (MB),Exec Time (s),Cost,Notes/Hardware
X-n106-k14.vrp,106,1,5.88,2700.02,26374.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n101-k25.vrp,101,1,5.89,2700.02,27591.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n110-k13.vrp,110,1,5.87,2700.03,14971.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n115-k10.vrp,115,1,5.85,2700.03,12747.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n125-k30.vrp,125,1,6.69,3889.76,55539.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n120-k6.vrp,120,1,6.3,3889.76,13332.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n129-k18.vrp,129,1,6.62,2700.02,28940.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n134-k13.vrp,134,1,6.58,2700.03,10916.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n139-k10.vrp,139,1,6.7,2700.02,13590.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n143-k7.vrp,143,1,6.64,2700.02,15700.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Leuven1.txt,3001,1,134.93,2700.26,196580.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Antwerp1.txt,6001,1,472.65,2700.72,490611.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Leuven2.txt,4001,1,153.05,2701.1,115919.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Antwerp2.txt,7001,1,468.64,2701.38,308078.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Ghent1.txt,10001,1,1207.13,2701.71,489841.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Brussels1.txt,15001,1,2414.67,2704.13,532835.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Ghent2.txt,11001,1,1048.72,2710.07,TLE,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT1.vrp,51,1,4.79,2700.2,521.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT6.vrp,51,1,4.81,2700.21,548.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT2.vrp,76,1,5.01,2700.18,830.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Flanders1.txt,20001,1,4340.98,2705.3,7640330.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT7.vrp,76,1,5.0,2700.18,903.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Brussels2.txt,16001,1,2231.16,2710.2,TLE,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Flanders2.txt,30001,1,7592.28,2710.38,TLE,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT12.vrp,101,1,5.17,2700.11,820.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT14.vrp,101,1,5.13,2700.13,865.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT3.vrp,101,1,5.14,2700.11,815.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT8.vrp,101,1,5.07,2700.13,848.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT11.vrp,121,1,5.16,2700.08,1034.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT13.vrp,121,1,5.18,2700.11,1524.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT4.vrp,151,1,5.56,2700.13,1015.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT9.vrp,151,1,5.42,2700.13,1145.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT10.vrp,200,1,5.89,2700.17,1367.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
CMT5.vrp,200,1,5.81,2700.14,1274.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_5.vrp,201,1,5.6,2700.17,6460.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_1.vrp,241,1,6.02,2700.16,5624.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_17.vrp,241,1,6.37,2700.14,686.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_13.vrp,253,1,6.49,2700.17,854.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_9.vrp,256,1,6.19,2700.12,479.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_6.vrp,281,1,6.15,2700.15,8398.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_18.vrp,301,1,7.0,2700.15,989.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_14.vrp,321,1,7.3,2700.2,1074.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_2.vrp,321,1,6.69,2700.13,8450.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_10.vrp,324,1,6.84,2700.12,610.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Golden_19.vrp,361,1,7.75,2700.06,1336.0,"Local 389a0756f592 (x86_64, 125.5GB RAM)"
Trentino-Alto-Adige.vrp,100000,1,16014.97,432.63,ERROR,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Molise.vrp,50000,1,16420.84,433.17,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Umbria.vrp,200000,1,15956.43,528.46,ERROR,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Abruzzo.vrp,250000,1,16439.02,529.85,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Marche.vrp,420000,1,16494.57,529.93,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Friuli-Venezia-Giulia.vrp,300000,1,16433.73,529.97,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Basilicata.vrp,150000,1,16392.85,530.18,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Sardegna.vrp,470000,1,16470.92,530.36,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Liguria.vrp,320000,1,16427.25,530.56,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Calabria.vrp,380000,1,16388.11,530.66,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Piemonte.vrp,600000,1,16400.34,105.68,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Campania.vrp,500000,1,16426.41,106.24,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Toscana.vrp,700000,1,16384.52,13.19,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
