Instance Name,Size (N),Seed,Peak Memory (MB),Exec Time (s),Cost,Notes/Hardware
Leuven1.txt,3001,0,27.8,0.48,198730.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Leuven1.txt,3001,0,32.98,43.59,193529.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Leuven2.txt,4001,0,41.58,59.65,112367.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Antwerp1.txt,6001,0,55.14,59.78,479705.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Antwerp2.txt,7001,0,61.87,63.88,294752.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Ghent1.txt,10001,0,84.39,54.26,472287.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Ghent2.txt,11001,0,90.21,62.48,261271.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Brussels1.txt,15001,0,120.37,58.4,506993.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Brussels2.txt,16001,0,127.82,57.81,352197.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Flanders1.txt,20001,0,157.75,79.94,7293052.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Flanders2.txt,30001,0,233.97,86.72,4461607.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Valle-D-Aosta.vrp,20000,0,165.52,115.66,21732499.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Molise.vrp,50000,0,385.9,92.35,111676523.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Trentino-Alto-Adige.vrp,100000,0,766.68,130.25,102909983.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Basilicata.vrp,150000,0,1144.07,123.4,176946396.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Umbria.vrp,200000,0,1523.45,168.05,547117087.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Abruzzo.vrp,250000,0,1902.84,170.58,313932667.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Friuli-Venezia-Giulia.vrp,300000,0,2287.43,178.41,418732605.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Liguria.vrp,320000,0,2433.92,175.1,1429587116.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Calabria.vrp,380000,0,2888.94,210.23,1971849787.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Marche.vrp,420000,0,3192.23,257.99,423645818.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Sardegna.vrp,470000,0,3571.54,228.47,842653650.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Campania.vrp,500000,0,3799.34,275.04,395650676.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Piemonte.vrp,600000,0,4556.37,298.61,2636209074.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Toscana.vrp,700000,0,5316.07,342.63,1093232973.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Puglia.vrp,750000,0,5694.04,325.69,1486388753.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Sicilia.vrp,800000,0,6074.46,353.35,1798419241.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Veneto.vrp,850000,0,6453.0,409.86,1058043087.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Emilia-Romagna.vrp,900000,0,6562.77,372.3,5417912535.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Lombardia.vrp,950000,0,6925.81,428.48,1350192241.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
Lazio.vrp,1000000,0,7413.82,411.2,3158419623.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n101-k25.vrp,101,0,23.99,35.79,27591.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n106-k14.vrp,106,0,11.54,53.71,26381.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n110-k13.vrp,110,0,74.03,53.71,14971.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n115-k10.vrp,115,0,57.09,44.87,12747.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n120-k6.vrp,120,0,46.96,52.57,13332.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n125-k30.vrp,125,0,13.67,39.71,55883.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n129-k18.vrp,129,0,22.29,52.04,28940.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n134-k13.vrp,134,0,43.59,54.41,10933.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n139-k10.vrp,139,0,58.34,56.4,13590.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n143-k7.vrp,143,0,19.12,42.94,15726.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n148-k46.vrp,148,0,27.68,45.14,43541.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n153-k22.vrp,153,0,20.71,36.55,21366.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n157-k13.vrp,157,0,26.97,69.47,16876.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n162-k11.vrp,162,0,56.37,67.67,14169.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n167-k10.vrp,167,0,39.86,64.62,20583.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n172-k51.vrp,172,0,14.04,38.75,45607.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n176-k26.vrp,176,0,14.14,43.46,48014.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n181-k23.vrp,181,0,18.12,69.5,25569.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n186-k15.vrp,186,0,21.59,43.91,24149.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n190-k8.vrp,190,0,18.88,52.44,16986.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n195-k51.vrp,195,0,19.75,45.93,44351.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n200-k36.vrp,200,0,18.51,43.87,58879.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n204-k19.vrp,204,0,22.69,40.12,19565.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n209-k16.vrp,209,0,13.86,40.87,30685.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n214-k11.vrp,214,0,11.98,33.88,10942.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n219-k73.vrp,219,0,53.03,195.06,117595.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n223-k34.vrp,223,0,19.84,38.21,40627.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n228-k23.vrp,228,0,13.85,42.66,25796.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n233-k16.vrp,233,0,17.33,37.38,19331.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
