Original Instance,Chunk File,Cost,Exec Time (s),Status/Notes
Emilia-Romagna,Emilia-Romagna_chunk_0.vrp,3248290.0,180.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_1.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_10.vrp,8849480.0,181.03,OK
Emilia-Romagna,Emilia-Romagna_chunk_100.vrp,1686600.0,180.63,OK
Emilia-Romagna,Emilia-Romagna_chunk_101.vrp,3540290.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_102.vrp,3754440.0,180.43,OK
Emilia-Romagna,Emilia-Romagna_chunk_103.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_104.vrp,3424480.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_105.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_106.vrp,3293330.0,182.15,OK
Emilia-Romagna,Emilia-Romagna_chunk_107.vrp,4012010.0,180.14,OK
Emilia-Romagna,Emilia-Romagna_chunk_108.vrp,2619690.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_109.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_11.vrp,7991990.0,180.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_110.vrp,9901270.0,180.61,OK
Emilia-Romagna,Emilia-Romagna_chunk_111.vrp,2121400.0,181.69,OK
Emilia-Romagna,Emilia-Romagna_chunk_112.vrp,1536270.0,180.04,OK
Emilia-Romagna,Emilia-Romagna_chunk_113.vrp,8810970.0,180.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_114.vrp,5738650.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_115.vrp,12284700.0,185.51,OK
Emilia-Romagna,Emilia-Romagna_chunk_116_sweep_0.vrp,10140900.0,180.11,OK
Emilia-Romagna,Emilia-Romagna_chunk_116_sweep_1.vrp,10342900.0,180.21,OK
Emilia-Romagna,Emilia-Romagna_chunk_116_sweep_2.vrp,10143900.0,180.32,OK
Emilia-Romagna,Emilia-Romagna_chunk_116_sweep_3.vrp,10180600.0,180.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_117.vrp,6121710.0,180.53,OK
Emilia-Romagna,Emilia-Romagna_chunk_118.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_119.vrp,6158330.0,180.48,OK
Emilia-Romagna,Emilia-Romagna_chunk_12.vrp,9621170.0,185.3,OK
Emilia-Romagna,Emilia-Romagna_chunk_120.vrp,5667520.0,181.88,OK
Emilia-Romagna,Emilia-Romagna_chunk_121.vrp,1892820.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_122.vrp,7060830.0,180.61,OK
Emilia-Romagna,Emilia-Romagna_chunk_123.vrp,3250780.0,180.74,OK
Emilia-Romagna,Emilia-Romagna_chunk_124.vrp,4674620.0,180.27,OK
Emilia-Romagna,Emilia-Romagna_chunk_125.vrp,5966050.0,186.03,OK
Emilia-Romagna,Emilia-Romagna_chunk_126.vrp,4109640.0,180.03,OK
Emilia-Romagna,Emilia-Romagna_chunk_127.vrp,2793600.0,183.56,OK
Emilia-Romagna,Emilia-Romagna_chunk_128.vrp,5873750.0,181.6,OK
Emilia-Romagna,Emilia-Romagna_chunk_129_sweep_0.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_129_sweep_1.vrp,14173300.0,181.7,OK
Emilia-Romagna,Emilia-Romagna_chunk_129_sweep_2.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_13.vrp,6377540.0,180.29,OK
Emilia-Romagna,Emilia-Romagna_chunk_130_sweep_0.vrp,11705800.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_130_sweep_1.vrp,12016100.0,180.34,OK
Emilia-Romagna,Emilia-Romagna_chunk_130_sweep_2.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_130_sweep_3.vrp,12118900.0,180.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_130_sweep_4.vrp,11715200.0,180.22,OK
Emilia-Romagna,Emilia-Romagna_chunk_131_sweep_0.vrp,12529800.0,181.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_131_sweep_1.vrp,12625600.0,180.19,OK
Emilia-Romagna,Emilia-Romagna_chunk_131_sweep_2.vrp,13104400.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_131_sweep_3.vrp,12914100.0,180.78,OK
Emilia-Romagna,Emilia-Romagna_chunk_131_sweep_4.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_131_sweep_5.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_132.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_133.vrp,9958020.0,180.98,OK
Emilia-Romagna,Emilia-Romagna_chunk_134.vrp,3713880.0,180.51,OK
Emilia-Romagna,Emilia-Romagna_chunk_135.vrp,5056880.0,185.31,OK
Emilia-Romagna,Emilia-Romagna_chunk_136.vrp,8494370.0,180.28,OK
Emilia-Romagna,Emilia-Romagna_chunk_137.vrp,6617540.0,180.22,OK
Emilia-Romagna,Emilia-Romagna_chunk_138.vrp,5565010.0,180.29,OK
Emilia-Romagna,Emilia-Romagna_chunk_139.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_14.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_140.vrp,2476460.0,180.07,OK
Emilia-Romagna,Emilia-Romagna_chunk_141.vrp,4571820.0,180.28,OK
Emilia-Romagna,Emilia-Romagna_chunk_142.vrp,2542740.0,180.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_143.vrp,7710770.0,180.71,OK
Emilia-Romagna,Emilia-Romagna_chunk_144.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_145.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_146.vrp,3964850.0,182.5,OK
Emilia-Romagna,Emilia-Romagna_chunk_147.vrp,2580780.0,180.12,OK
Emilia-Romagna,Emilia-Romagna_chunk_148.vrp,5978720.0,182.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_149.vrp,9301280.0,181.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_15.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_150.vrp,2365680.0,180.41,OK
Emilia-Romagna,Emilia-Romagna_chunk_151.vrp,3408290.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_152.vrp,3645860.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_153.vrp,27720700.0,186.93,OK
Emilia-Romagna,Emilia-Romagna_chunk_154.vrp,17028100.0,185.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_155.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_156.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_157.vrp,2426010.0,182.36,OK
Emilia-Romagna,Emilia-Romagna_chunk_158.vrp,6137920.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_159.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_160.vrp,12478800.0,186.86,OK
Emilia-Romagna,Emilia-Romagna_chunk_161.vrp,6357350.0,182.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_162.vrp,5657120.0,187.99,OK
Emilia-Romagna,Emilia-Romagna_chunk_163.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_164.vrp,7512530.0,180.62,OK
Emilia-Romagna,Emilia-Romagna_chunk_165.vrp,7538450.0,180.15,OK
Emilia-Romagna,Emilia-Romagna_chunk_166.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_167.vrp,7063230.0,182.9,OK
Emilia-Romagna,Emilia-Romagna_chunk_168.vrp,2431030.0,181.03,OK
Emilia-Romagna,Emilia-Romagna_chunk_169.vrp,11057700.0,180.15,OK
