Original Instance,Chunk File,Cost,Exec Time (s),Status/Notes
Emilia-Romagna,Emilia-Romagna_chunk_0.vrp,3245960.0,132.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_1.vrp,29145600.0,300.94,OK
Emilia-Romagna,Emilia-Romagna_chunk_10.vrp,8849480.0,132.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_100.vrp,1674960.0,132.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_101.vrp,3478210.0,132.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_102.vrp,3753360.0,132.14,OK
Emilia-Romagna,Emilia-Romagna_chunk_103.vrp,25612600.0,132.27,OK
Emilia-Romagna,Emilia-Romagna_chunk_104.vrp,3410130.0,132.12,OK
Emilia-Romagna,Emilia-Romagna_chunk_105.vrp,28484000.0,132.34,OK
Emilia-Romagna,Emilia-Romagna_chunk_106.vrp,3265020.0,132.24,OK
Emilia-Romagna,Emilia-Romagna_chunk_107.vrp,4010300.0,132.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_108.vrp,2617730.0,132.05,OK
Emilia-Romagna,Emilia-Romagna_chunk_109.vrp,39023000.0,301.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_11.vrp,7990490.0,132.11,OK
Emilia-Romagna,Emilia-Romagna_chunk_110.vrp,9899350.0,132.1,OK
Emilia-Romagna,Emilia-Romagna_chunk_111.vrp,2109590.0,133.07,OK
Emilia-Romagna,Emilia-Romagna_chunk_112.vrp,1535660.0,132.05,OK
Emilia-Romagna,Emilia-Romagna_chunk_113.vrp,8809750.0,132.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_114.vrp,5737670.0,132.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_115.vrp,12281100.0,132.12,OK
Emilia-Romagna,Emilia-Romagna_chunk_116.vrp,40597010.00,0,OK (Parallel Sweep)
Emilia-Romagna,Emilia-Romagna_chunk_117.vrp,6119760.0,132.15,OK
Emilia-Romagna,Emilia-Romagna_chunk_118.vrp,20087700.0,132.32,OK
Emilia-Romagna,Emilia-Romagna_chunk_119.vrp,6157520.0,132.12,OK
Emilia-Romagna,Emilia-Romagna_chunk_12.vrp,9508500.0,132.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_120.vrp,5667520.0,132.12,OK
Emilia-Romagna,Emilia-Romagna_chunk_121.vrp,1890210.0,132.11,OK
Emilia-Romagna,Emilia-Romagna_chunk_122.vrp,7060050.0,132.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_123.vrp,3246500.0,132.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_124.vrp,4671710.0,132.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_125.vrp,5897280.0,132.74,OK
Emilia-Romagna,Emilia-Romagna_chunk_126.vrp,4108740.0,132.11,OK
Emilia-Romagna,Emilia-Romagna_chunk_127.vrp,2793600.0,132.37,OK
Emilia-Romagna,Emilia-Romagna_chunk_128.vrp,5871030.0,132.23,OK
Emilia-Romagna,Emilia-Romagna_chunk_129.vrp,42260500.00,0,OK (Parallel Sweep)
Emilia-Romagna,Emilia-Romagna_chunk_13.vrp,6377320.0,132.1,OK
Emilia-Romagna,Emilia-Romagna_chunk_130.vrp,59392600.00,0,OK (Parallel Sweep)
Emilia-Romagna,Emilia-Romagna_chunk_131.vrp,76657900.00,0,OK (Parallel Sweep)
Emilia-Romagna,Emilia-Romagna_chunk_132.vrp,32922800.0,301.21,OK
Emilia-Romagna,Emilia-Romagna_chunk_133.vrp,9954530.0,132.14,OK
Emilia-Romagna,Emilia-Romagna_chunk_134.vrp,3638350.0,132.14,OK
Emilia-Romagna,Emilia-Romagna_chunk_135.vrp,5010540.0,132.21,OK
