nohup: ignoring input
Loading original VRP: data/instances/I/Lazio.vrp
Loading clusters CSV: mst_clusters_output.csv
Setting up cluster dispatching jobs...
Created 670 sub-problems. Running HGS with parallel workers...
[1/670] Solved cluster_0 | Cost: 639997.0
[2/670] Solved cluster_1 | Cost: 640142.0
[3/670] Solved cluster_2 | Cost: 886901.0
[4/670] Solved cluster_3 | Cost: 891729.0
[5/670] Solved cluster_4 | Cost: 545778.0
[6/670] Solved cluster_5 | Cost: 404449.0
[7/670] Solved cluster_6 | Cost: 231487.0
[8/670] Solved cluster_7 | Cost: 133870.0
[9/670] Solved cluster_8 | Cost: 155559.0
[10/670] Solved cluster_9 | Cost: 302057.0
[11/670] Solved cluster_10 | Cost: 342123.0
[12/670] Solved cluster_11 | Cost: 452238.0
[13/670] Solved cluster_12 | Cost: 920549.0
[14/670] Solved cluster_13 | Cost: 1359560.0
[15/670] Solved cluster_14 | Cost: 1430640.0
[16/670] Solved cluster_15 | Cost: 1283430.0
[17/670] Solved cluster_16 | Cost: 1232810.0
[18/670] Solved cluster_17 | Cost: 1061090.0
[19/670] Solved cluster_18 | Cost: 1642460.0
[20/670] Solved cluster_19 | Cost: 1965950.0
[21/670] Solved cluster_20 | Cost: 2775370.0
[22/670] Solved cluster_21 | Cost: 3196780.0
[23/670] Solved cluster_22 | Cost: 3558570.0
[24/670] Solved cluster_23 | Cost: 4131040.0
[25/670] Solved cluster_24 | Cost: 3602460.0
[26/670] Solved cluster_25 | Cost: 3601560.0
[27/670] Solved cluster_26 | Cost: 2777850.0
[28/670] Solved cluster_27 | Cost: 2541510.0
[29/670] Solved cluster_28 | Cost: 2950110.0
[30/670] Solved cluster_29 | Cost: 2923510.0
[31/670] Solved cluster_30 | Cost: 3689430.0
[32/670] Solved cluster_31 | Cost: 4885950.0
[33/670] Solved cluster_32 | Cost: 4098580.0
[34/670] Solved cluster_33 | Cost: 4803390.0
[35/670] Solved cluster_34 | Cost: 5125230.0
[36/670] Solved cluster_35 | Cost: 6140580.0
[37/670] Solved cluster_36 | Cost: 6036200.0
[38/670] Solved cluster_37 | Cost: 6299580.0
[39/670] Solved cluster_38 | Cost: 5968240.0
[40/670] Solved cluster_39 | Cost: 6999210.0
[41/670] Solved cluster_40 | Cost: 6500770.0
[42/670] Solved cluster_41 | Cost: 4364210.0
